"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","Em Python 3, qual a principal diferença entre uma lista (list) e uma tupla (tuple)?","Listas são imutáveis e tuplas são mutáveis.","Ambas são imutáveis, mas listas aceitam tipos mistos.","Listas são mutáveis, enquanto tuplas são imutáveis.","Não há diferença, são sinônimos na linguagem.","C","Em Python, as listas (criadas com colchetes) podem ter seus elementos alterados (mutáveis), já as tuplas (criadas com parênteses) não podem ser alteradas após a criação (imutáveis)."
"Informática","Na Programação Orientada a Objetos, o conceito que permite que um mesmo método tenha comportamentos diferentes em classes derivadas é chamado de:","Encapsulamento.","Polimorfismo.","Herança múltipla.","Abstração.","B","O polimorfismo permite que objetos de classes diferentes (mas que herdam de uma mesma superclasse) respondam ao mesmo método de formas específicas."
"Informática","Qual algoritmo de ordenação divide recursivamente o array pela metade até atingir elementos únicos e depois os combina em ordem?","Bubble Sort.","Insertion Sort.","Selection Sort.","Merge Sort.","D","O Merge Sort utiliza a estratégia de 'dividir para conquistar', dividindo o array em metades, ordenando-as e depois combinando (merge) as partes."
"Informática","No contexto de Banco de Dados Relacional, a Primeira Forma Normal (1FN) exige que:","A tabela não possua chaves estrangeiras.","Todos os atributos sejam atômicos e não haja grupos repetitivos.","Todos os atributos dependam apenas de parte da chave primária.","Não existam dependências transitivas entre os atributos não chave.","B","Para estar na 1FN, uma relação não pode conter atributos multivalorados ou compostos, ou seja, todos os valores devem ser atômicos e indivisíveis."
"Informática","Qual comando SQL é utilizado para retornar apenas os registros que possuem correspondência em ambas as tabelas relacionadas?","LEFT JOIN.","RIGHT JOIN.","INNER JOIN.","FULL OUTER JOIN.","C","O INNER JOIN retorna as linhas quando há pelo menos uma correspondência nas duas tabelas que estão sendo unidas."
"Informática","Diferentemente de Bancos de Dados Relacionais, um banco de dados NoSQL do tipo 'Orientado a Documentos' armazena dados em formatos como:","Tabelas com linhas e colunas fixas.","Grafos com nós e arestas.","Pares de chave e valor simples.","JSON, BSON ou XML.","D","Bancos orientados a documentos, como o MongoDB, armazenam os dados em formatos semiestruturados, predominantemente JSON ou BSON."
"Informática","Em Sistemas Operacionais, qual a característica principal de uma Thread em comparação a um Processo?","Threads não compartilham memória com o processo pai.","Threads dentro do mesmo processo compartilham o mesmo espaço de endereçamento.","Threads são mais pesadas e consomem mais recursos do SO.","Um processo só pode conter uma única thread.","B","Threads (linhas de execução) pertencentes ao mesmo processo compartilham a mesma memória e recursos, o que torna a comunicação entre elas mais rápida."
"Informática","Em redes Windows e Linux, qual serviço é responsável por traduzir nomes de domínio amigáveis (ex: www.site.com) em endereços IP?","DHCP.","DNS.","FTP.","SNMP.","B","O DNS (Domain Name System) atua como a lista telefônica da internet, resolvendo nomes de domínio em endereços IP correspondentes."
"Informática","Qual protocolo de camada de transporte é orientado à conexão e garante a entrega confiável dos pacotes de dados?","UDP.","IP.","ICMP.","TCP.","D","O TCP (Transmission Control Protocol) é orientado à conexão e possui mecanismos de controle de erro e fluxo, garantindo a entrega ordenada e confiável."
"Informática","Em relação ao modelo OSI, roteadores operam nativamente em qual camada?","Camada 2 (Enlace de Dados).","Camada 3 (Rede).","Camada 4 (Transporte).","Camada 7 (Aplicação).","B","Roteadores são equipamentos de Camada 3 (Rede) do modelo OSI, responsáveis por encaminhar pacotes lógicos com base no endereço IP."
"Informática","O IPv6 foi criado para substituir o IPv4 devido ao esgotamento de endereços. O IPv6 possui um espaço de endereçamento de:","32 bits.","64 bits.","128 bits.","256 bits.","C","O endereço IPv6 tem 128 bits de comprimento, geralmente representado por oito grupos de quatro dígitos hexadecimais, oferecendo uma quantidade quase inesgotável de IPs."
"Informática","Na virtualização de infraestrutura, qual a principal diferença entre Máquinas Virtuais (VMs) e Containers (como Docker)?","Containers incluem um Sistema Operacional completo (Guest OS) para cada instância.","VMs compartilham o kernel do Sistema Operacional hospedeiro.","Containers compartilham o kernel do SO hospedeiro, sendo mais leves que VMs.","VMs não oferecem isolamento de recursos de hardware.","C","Containers isolam a aplicação no nível do Sistema Operacional e compartilham o mesmo kernel, tornando-os muito mais leves e rápidos de iniciar do que as VMs tradicionais."
"Informática","No contexto de DevOps, o que significa a sigla CI em um pipeline CI/CD?","Continuous Inspection (Inspeção Contínua).","Continuous Integration (Integração Contínua).","Code Implementation (Implementação de Código).","Cloud Infrastructure (Infraestrutura em Nuvem).","B","CI significa Integração Contínua (Continuous Integration), a prática de integrar alterações de código em um repositório central frequentemente, seguida de builds e testes automatizados."
"Informática","Ferramentas como Terraform e Ansible são utilizadas para qual finalidade no contexto de DevOps e Nuvem?","Monitoramento de tráfego de rede (NetFlow).","Criptografia de banco de dados.","Infraestrutura como Código (IaC).","Balanceamento de carga em servidores proxy.","C","Terraform e Ansible são ferramentas clássicas de Infraestrutura como Código (IaC), permitindo provisionar, configurar e gerenciar recursos de TI por meio de arquivos de configuração."
"Informática","Sobre os algoritmos de segurança, o RSA é classificado como:","Algoritmo de Hash.","Algoritmo de Criptografia Simétrica.","Algoritmo de Criptografia Assimétrica.","Protocolo de VPN.","C","O RSA utiliza um par de chaves (uma pública e uma privada), sendo, portanto, um algoritmo de criptografia assimétrica."
"Informática","A norma ISO 27001 trata especificamente de:","Padrões de cabeamento estruturado.","Modelo de referência para interconexão de sistemas abertos.","Sistema de Gestão da Segurança da Informação (SGSI).","Qualidade no desenvolvimento de software de linguagens C/C++.","C","A norma ISO/IEC 27001 estabelece os requisitos para estabelecer, implementar, manter e melhorar continuamente um Sistema de Gestão da Segurança da Informação."
