"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","Em Javascript (ECMAScript), qual a diferença fundamental entre as palavras reservadas 'let' e 'var' na declaração de variáveis?","'var' tem escopo de bloco, enquanto 'let' tem escopo global.","'let' tem escopo de bloco, enquanto 'var' tem escopo de função ou escopo global.","Ambas possuem escopo de bloco, mas 'let' não pode ser reatribuída.","Não há diferença, foram criadas apenas para manter retrocompatibilidade.","B","A palavra 'var' obedece ao escopo de função (ou global), podendo sofrer 'hoisting'. Já a palavra 'let' (introduzida no ES6) tem escopo de bloco (delimitado por chaves {})."
"Informática","Na estrutura de dados conhecida como Pilha (Stack), a regra de inserção e remoção de elementos segue qual princípio?","FIFO (First In, First Out).","LIFO (Last In, First Out).","Ordenação alfabética obrigatória.","Acesso aleatório baseado em índices numéricos.","B","Uma Pilha funciona sob o princípio LIFO (o último a entrar é o primeiro a sair), assim como uma pilha de pratos reais."
"Informática","No estudo de algoritmos de busca, a Busca Binária possui uma grande vantagem de desempenho sobre a Busca Linear. Qual é o pré-requisito fundamental para aplicar a Busca Binária em um array?","O array deve conter apenas números inteiros.","O array deve estar previamente ordenado.","O array não pode conter elementos repetidos.","O tamanho do array deve ser uma potência de 2.","B","A busca binária funciona dividindo o espaço de busca pela metade a cada iteração, o que só é possível e logicamente correto se os elementos estiverem previamente ordenados."
"Informática","Na linguagem SQL, qual cláusula é utilizada para filtrar os resultados agrupados por uma função de agregação (como SUM ou COUNT)?","WHERE.","ORDER BY.","HAVING.","GROUP FILTER.","C","A cláusula WHERE filtra as linhas antes do agrupamento. Para filtrar os dados após o uso da cláusula GROUP BY e das funções de agregação, utiliza-se a cláusula HAVING."
"Informática","Os comandos GRANT e REVOKE na linguagem SQL pertencem a qual subconjunto de comandos de banco de dados?","DDL (Data Definition Language).","DML (Data Manipulation Language).","DCL (Data Control Language).","TCL (Transaction Control Language).","C","GRANT e REVOKE são comandos responsáveis por gerenciar direitos e permissões de acesso aos dados, caracterizando a DCL (Linguagem de Controle de Dados)."
"Informática","Em Sistemas Operacionais, a técnica de Gerenciamento de Memória que divide a memória física em blocos de tamanho fixo chamados 'quadros' e a memória lógica em blocos do mesmo tamanho chamados 'páginas' é a:","Segmentação.","Alocação contígua.","Swapping.","Paginação.","D","A paginação evita a fragmentação externa ao dividir a memória física em quadros e a memória lógica em páginas de mesmo tamanho, mapeadas por meio de uma tabela de páginas."
"Informática","No Linux, o comando 'chmod 755 arquivo.txt' define quais permissões para o proprietário, grupo e outros usuários, respectivamente?","Leitura/Gravação/Execução para todos.","Leitura/Gravação/Execução para o dono; Leitura/Execução para o grupo e outros.","Apenas Execução para o dono e Leitura para os demais.","Gravação exclusiva para o dono e nada para os demais.","B","No sistema octal, 7 (4+2+1) dá permissão total (leitura, gravação, execução) ao dono. O número 5 (4+1) dá leitura e execução ao grupo e aos outros."
"Informática","Em redes de computadores, o processo de atribuição dinâmica de endereços IP via DHCP ocorre em quatro etapas conhecidas pelo acrônimo DORA. O que significam essas letras?","Discover, Offer, Request, Acknowledge.","Domain, Order, Request, Assign.","Data, Object, Route, Address.","Detect, Organize, Reply, Accept.","A","DORA representa as mensagens trocadas: O cliente envia DHCP Discover, o servidor responde com DHCP Offer, o cliente faz o DHCP Request e o servidor confirma com DHCP Acknowledge."
"Informática","No protocolo HTTP, qual método deve ser utilizado de forma idempotente para solicitar a substituição total de um recurso existente no servidor?","GET.","POST.","PUT.","PATCH.","C","O método PUT é utilizado para criar ou substituir completamente um recurso no destino especificado, sendo uma operação idempotente (repeti-la gera o mesmo estado final)."
"Informática","O cálculo de sub-redes IPv4 utiliza máscaras para separar a porção de rede da porção de host. Uma máscara de sub-rede expressa como /24 equivale a qual endereço decimal pontuado?","255.0.0.0","255.255.0.0","255.255.255.0","255.255.255.255","C","A notação /24 indica que os primeiros 24 bits da máscara são '1'. Como cada octeto tem 8 bits, são 3 octetos completos (255.255.255), restando 0 para a porção de host."
