"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","Em Python 3, qual estrutura de dados nativa é utilizada para armazenar coleções de dados no formato de pares de 'chave: valor'?","List (Lista).","Tuple (Tupla).","Dictionary (Dicionário).","Set (Conjunto).","C","Os dicionários em Python (criados com chaves {}) armazenam os dados mapeando chaves exclusivas a seus respectivos valores, permitindo buscas rápidas."
"Informática","Na linguagem JavaScript (ECMAScript), uma 'Promise' (Promessa) representa a eventual conclusão ou falha de uma operação assíncrona. Quais são os três estados possíveis de uma Promise?","Started, Running, Stopped.","Pending, Fulfilled, Rejected.","Waiting, Success, Error.","Null, Undefined, Resolved.","B","Uma Promise no JavaScript pode estar no estado Pendente (Pending), Realizada com sucesso (Fulfilled) ou Rejeitada por falha (Rejected)."
"Informática","Na linguagem C/C++, qual é a finalidade do operador '*' (asterisco) quando colocado antes de um ponteiro já declarado e inicializado (ex: *ptr)?","Retornar o endereço de memória onde a variável original está armazenada.","Desreferenciar o ponteiro, acessando ou modificando o valor contido no endereço de memória apontado.","Multiplicar o endereço de memória pelo valor da variável.","Declarar uma constante imutável na memória.","B","O operador '*' atua como operador de desreferenciação (ou indireção), permitindo acessar o valor armazenado no endereço de memória para o qual o ponteiro aponta."
"Informática","Em Java, uma 'Interface' difere de uma 'Classe Abstrata' clássica principalmente porque:","Uma interface não pode conter declaração de métodos, apenas variáveis.","Uma classe pode implementar múltiplas interfaces, mas só pode herdar de uma única classe (abstrata ou não).","Uma interface pode ser instanciada diretamente usando 'new', ao contrário da classe abstrata.","Interfaces suportam herança múltipla de classes concretas.","B","Java não suporta herança múltipla de classes (uma classe só herda de uma), mas permite que uma classe implemente várias interfaces simultaneamente."
"Informática","Na Programação Orientada a Objetos, o pilar que consiste em ocultar os detalhes internos de implementação de um objeto, expondo apenas os métodos necessários e protegendo seus atributos, é:","A Herança.","O Polimorfismo.","O Encapsulamento.","A Abstração de Banco de Dados.","C","O encapsulamento agrupa os dados (atributos) e os métodos que os manipulam, restringindo o acesso direto e protegendo o estado interno do objeto."
"Informática","No contexto de Modelagem Lógica de Banco de Dados, a Terceira Forma Normal (3FN) estabelece que uma tabela deve estar na 2FN e que:","Nenhum atributo não-chave possua dependência transitiva com a chave primária.","Todas as chaves estrangeiras sejam removidas.","Os dados sejam armazenados em formato XML.","Existam colunas com valores multivalorados.","A","Para estar na 3FN, todo atributo não-chave deve depender única e exclusivamente da chave primária, eliminando-se as dependências transitivas (quando um atributo não-chave depende de outro atributo não-chave)."
"Informática","Os comandos SQL 'INSERT', 'UPDATE' e 'DELETE' pertencem a qual subconjunto da linguagem SQL?","DDL (Data Definition Language).","DCL (Data Control Language).","DML (Data Manipulation Language).","DTL (Data Transaction Language).","C","Estes comandos são utilizados para manipular (inserir, atualizar, excluir) os dados armazenados nas tabelas, compondo a DML."
"Informática","Em Sistemas Operacionais, a situação em que dois ou mais processos ficam bloqueados indefinidamente, cada um aguardando a liberação de um recurso que está sob posse do outro, é conhecida como:","Starvation.","Deadlock (Impasse).","Race Condition (Condição de Corrida).","Swapping.","B","O Deadlock (ou abraço mortal) ocorre quando processos ficam retidos para sempre esperando eventos que só podem ser causados por outros processos no mesmo conjunto bloqueado."
"Informática","No sistema Linux, as informações sobre as contas de usuários locais, incluindo nome de usuário, ID do usuário (UID), ID do grupo (GID) e o diretório home, ficam tradicionalmente armazenadas em qual arquivo?","/etc/shadow","/etc/groups","/etc/sudoers","/etc/passwd","D","O arquivo '/etc/passwd' contém a lista de contas do sistema e suas propriedades básicas. As senhas criptografadas ficam no '/etc/shadow' por segurança."
"Informática","No Microsoft Windows Server (Active Directory), o que é uma GPO (Group Policy Object)?","Um protocolo de roteamento de pacotes para LANs.","Um conjunto de regras e configurações aplicadas a usuários e computadores em um ambiente de domínio.","Um software de virtualização de hardware embutido no kernel.","Um banco de dados NoSQL exclusivo da Microsoft.","B","A Diretiva de Grupo (GPO) permite que administradores gerenciem centralmente configurações do sistema operacional, permissões e políticas de segurança para todos os usuários e computadores do AD."
"Informática","No modelo OSI, as unidades de dados de protocolo (PDU) recebem nomes específicos em cada camada. Na Camada 4 (Transporte), ao utilizar o protocolo TCP, a PDU é chamada de:","Quadro (Frame).","Pacote (Packet).","Segmento (Segment).","Datagrama (Datagram).","C","Na camada de transporte, a PDU do TCP é o Segmento. Para o UDP, é o Datagrama. Na camada de rede, é o Pacote, e na camada de enlace, é o Quadro."
"Informática","Ao realizar o cálculo de sub-redes IPv4, uma máscara de sub-rede /26 (ou 255.255.255.192) fornece quantos endereços IP válidos (utilizáveis) para hosts por sub-rede?","30.","62.","126.","254.","B","A máscara /26 deixa 6 bits para hosts (32 - 26 = 6). O cálculo de hosts válidos é (2 elevado a 6) - 2, o que resulta em 64 - 2 = 62 hosts utilizáveis (descontando o IP de rede e o de broadcast)."
"Informática","Qual modelo de implantação em Computação em Nuvem é caracterizado pela infraestrutura ser operada exclusivamente para uma única organização, podendo ser gerenciada por ela ou por terceiros, e alocada internamente ou externamente?","Nuvem Pública.","Nuvem Híbrida.","Nuvem Privada.","Nuvem Comunitária.","C","A Nuvem Privada oferece recursos computacionais dedicados e isolados para uma única empresa, garantindo maior controle e segurança."
"Informática","No contexto das práticas de DevOps (CI/CD), qual a diferença entre 'Entrega Contínua' (Continuous Delivery) e 'Implantação Contínua' (Continuous Deployment)?","A Entrega Contínua requer automação total até a produção, enquanto a Implantação Contínua é manual.","A Entrega Contínua deixa o código pronto para produção dependendo de uma aprovação manual, já a Implantação Contínua lança o código em produção de forma 100% automatizada.","Não há diferença, os termos são sinônimos no mercado de TI.","Ambas referem-se unicamente ao processo de escrever código em branch separada no Git.","B","A Implantação Contínua (Deployment) elimina o gargalo humano, colocando cada alteração aprovada nos testes automaticamente em produção. A Entrega (Delivery) pausa e aguarda o botão de 'Aprovar'."
"Informática","O protocolo IPsec, comumente usado em túneis VPN, atua em qual modelo para garantir a criptografia fim a fim dos dados trafegados?","Em conjunto exclusivo com redes Wi-Fi públicas.","Criptografando toda a carga útil e, dependendo do modo (Túnel), até o cabeçalho IP original.","Apenas na camada de Aplicação, como o HTTPS.","Apenas validando a assinatura digital, sem criptografar os dados.","B","No modo Túnel (muito usado em VPNs Site-to-Site), o IPsec criptografa o pacote IP inteiro original e adiciona um novo cabeçalho IP externo."
